Brand,Country,Industry,Current_Score,Volatility,Trend_Slope,Inflation_Performance,Cluster_Name
Tolu,FI,Hygiene & Cleaning,80.50098675381933,6.1429378437942495,-5.52188981772418,,👑 The Royals
Elisa,FI,Telecommunications,80.4835112352086,12.266002436357153,2.9134980487124276,13.649770385115417,👑 The Royals
Alpro,FI,Food,80.4665441981652,8.4636261949135,3.5124675734362087,,👑 The Royals
Raisio,FI,Consumer Goods Corporations,80.00272114844127,7.759194447522913,1.5874325721534148,,👑 The Royals
Sokos,FI,Clothes & Fashion - Stores,79.79627257022074,7.069057974783846,1.6074801931060083,-0.17883848175823402,👑 The Royals
ABC,FI,Fuel,79.49849149964902,11.566772052066932,3.073251219103894,16.729575063104917,👑 The Royals
Urtekram,DK,Food,79.41668121531575,4.123028512861512,-0.1242636301891217,,👑 The Royals
Marli,FI,Beverage,79.16469776836217,7.114015616478868,-3.91254712460222,,👑 The Royals
Luhta,FI,Clothes & Fashion - Brands,79.08469145246471,7.135165316759877,-4.738378536418168,,👑 The Royals
Änglamark,SE,Food,78.93170150835954,6.157749202407296,-0.9086009257078477,,👑 The Royals
Nokia,FI,Home Appliances & Electronics - Brands,78.87469479950721,5.77891169018958,1.807053991067383,,👑 The Royals
Thise Mejeri,DK,Food,78.77556371262625,7.200689492683106,1.0721254804616625,,👑 The Royals
HEMA,NL,Hobby & Leisure,78.72553338858727,9.095759974604427,2.267125508332247,,👑 The Royals
Pirkka,FI,Food,78.67746119418838,8.511475989101623,1.5572824677878339,-4.402912576223741,👑 The Royals
Friland,DK,Food,78.581741742337,6.050790853978793,0.755528414806851,,👑 The Royals
Grøn Balance,DK,Food,78.53465802581894,0.7595337873820789,1.0741429831963387,,👑 The Royals
Lidl,FI,Grocery Stores,78.48466718386136,11.977313222047536,3.0085193884405244,15.620304817527582,👑 The Royals
Arla,SE,Food,78.45501445177358,6.104016309862252,0.6289129179976657,2.26858042761949,👑 The Royals
tori.fi,FI,E-commerce,78.27369322045733,8.742335521790448,1.2395746743112013,,👑 The Royals
Vinmonopolet,NO,Grocery Stores,77.7963609311085,9.385637263626286,1.9312518397769747,19.660666676324148,👑 The Royals
Polisen,SE,Governmental Institutions,77.76408618789205,6.47055636416068,1.4813345587640132,,👑 The Royals
Fjällräven,SE,Clothes & Fashion - Brands,77.54243110621289,4.45500354569917,-0.11480863191161217,3.655775703066773,👑 The Royals
Ingman,FI,Food,77.350801658057,7.815089967191558,0.5659601066166587,-11.448340787933972,👑 The Royals
Novelle,FI,Beverage,77.32641004842075,4.790034865801643,-3.2446036656061636,,👑 The Royals
Naturmælk,DK,Food,77.2865682754895,9.732832555930184,-9.685777667833698,,📉 The Sliders
Rørosmeieriet,NO,Food,77.05734805920055,6.722212657153156,-0.9337311440134476,,👑 The Royals
Oatly,NL,Food,76.64313194361793,13.205559567172106,4.229211904584915,,👑 The Royals
ICA I love eco,SE,Food,76.53677067894682,8.283346813596262,-3.104275631565852,,👑 The Royals
Pohjola Vakuutus,FI,Insurance & Pension,76.489247370133,6.655413268281261,2.0063459604319336,,👑 The Royals
Matsmart,SE,E-commerce,76.42496161165732,8.690252893075934,-5.487393077309749,,👑 The Royals
ASN Bank,NL,Banks,75.96059206512041,7.237566205435647,1.461206077929307,,👑 The Royals
SJ,SE,Passenger Transport,75.63536872185949,3.6798580560562284,-0.06179871526699181,4.456037712078022,👑 The Royals
Sinebrychoff,FI,Beverage,75.526273433513,10.15474981171292,1.8849290313510252,,👑 The Royals
Lotus,FI,Hygiene & Cleaning,75.52308638100092,0.7425151177206285,1.050074949747568,,👑 The Royals
HK,FI,Food,74.94392363225096,8.178504133272638,1.3491175727707096,-1.7774366085222368,👑 The Royals
IKEA,NO,Furniture & Decoration,74.87485262232268,10.781945200736747,1.203775849669515,8.793955372185358,👑 The Royals
Finnair,FI,Airlines,74.36220894186619,5.117433908939288,1.1520327646709805,,👑 The Royals
ICA,SE,Grocery Stores,73.42068338208281,6.814810237906661,-0.19854532853200366,-5.558294457275899,👑 The Royals
Weleda,NL,Beauty,73.39733836571223,9.80664840323196,-9.65480092545834,,📉 The Sliders
Alpro,NL,Food,72.99161539283418,9.407639309196304,0.991587054611592,,👑 The Royals
Findus,FI,Food,72.82361292511087,11.644365163074117,3.5369381471893813,,👑 The Royals
Sale,FI,Grocery Stores,72.56009859253716,11.586229424564104,3.9486031002164688,,👑 The Royals
Aarstiderne,DK,E-commerce,72.54263734755615,9.124583944503824,-5.208918247849535,,👑 The Royals
Vattenfall,SE,Electricity & Heating,72.44047098897497,10.597034988703594,3.058662495817336,29.94234174361509,👑 The Royals
K-Rauta,FI,Hobby & Leisure,72.3798803916767,10.802032577698554,3.050313489818414,,👑 The Royals
Saltå Kvarn,SE,Food,72.26123848299271,7.6702427060359355,-1.6705658796822402,-15.63858888714551,👑 The Royals
Herbina,FI,Beauty,72.1431583095409,0.1786598609548705,0.25266319841406926,,👑 The Royals
Benecol,FI,Food,72.08689088960439,7.384502688017012,2.107430940646023,,👑 The Royals
Arla,NL,Food,72.08686450512782,8.987001731101461,1.9861607582362335,,👑 The Royals
Kotipizza,FI,"Restaurants, Cafes & Take-away",71.93093942383986,11.0586003900681,2.4005389127275234,8.102621788778173,👑 The Royals
Valess,NL,Food,71.61925649973584,13.670425892856993,-4.050033697216439,,📉 The Sliders
Skona,SE,Hygiene & Cleaning,71.5818101349319,6.680229653594727,-5.241716559829108,,👑 The Royals
Vantaan Energia,FI,Electricity & Heating,71.53019665894622,9.869311657913464,0.31459366173117836,9.391331033124331,👑 The Royals
Apoteket,SE,Pharmacies,71.3958017524188,8.835668965833706,-1.3336442296364752,-12.511620513944273,👑 The Royals
Helen,FI,Electricity & Heating,71.29997083982119,5.228689035492021,0.35132793042359,,👑 The Royals
Vy,NO,Passenger Transport,71.1832671556268,8.28662286263708,-2.1194201742860237,,👑 The Royals
Fortum,FI,Electricity & Heating,70.73416359793389,8.766590524893822,0.2286808196188475,-0.8968541489006014,👑 The Royals
Coop,SE,Grocery Stores,70.63601430901674,7.932159593776,-1.3166494612424553,-15.432846331857014,👑 The Royals
Kung Markatta,SE,Food,70.63329915321575,5.541309819297295,0.04550601900137859,-0.48916353002621094,👑 The Royals
Volvo,FI,Automotive,70.20554196564478,10.245922683257048,1.2554463785958019,-0.258114561238763,👑 The Royals
Triodos Bank,NL,Banks,70.04751530241421,7.446874789871902,0.4044838985665803,,👑 The Royals
Arvid Nordquist,FI,Beverage,69.94316358695642,5.841868093157802,2.1048495114163592,,👑 The Royals
LUSH,NL,Beauty,69.66700839777825,11.57153066599341,-10.53977168577925,,📉 The Sliders
Zuivelhoeve,NL,Food,69.50318110759964,9.986837597687366,-7.006512265461808,,📉 The Sliders
Brugsen,DK,Grocery Stores,69.00863526378336,3.6667385003019812,-5.185551316802645,,👑 The Royals
Stormberg,NO,Clothes & Fashion - Brands,68.5667913595651,9.83606674745033,-1.374170941705683,-8.937262926657773,👑 The Royals
Lidl,NL,Grocery Stores,68.53470705761333,10.442333725565053,2.0900377478154324,,👑 The Royals
Mehukatti,FI,Beverage,68.38827222238183,6.512004792447633,-1.6092981128719686,,👑 The Royals
KEVA,FI,Insurance & Pension,68.33885249062367,11.626539779260266,4.331431725327882,,👑 The Royals
Urtekram,SE,Food,68.19546395570727,2.6106898629235067,-0.5297372599718131,,👑 The Royals
